#
# Transition date estimate for freemangrass
#
# Site: freemangrass
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2019-01-14
# Final Processing Time: 16:13:53
# Spline RMSE gcc_mean: 0.00252
# Spline RMSE gcc_50: 0.0025
# Spline RMSE gcc_75: 0.00368
# Spline RMSE gcc_90: 0.00391
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
freemangrass,GR,1000,rising,gcc_90,2013-03-12,2013-03-25,2013-04-05,2013-03-09,2013-03-18,2013-04-02,2013-03-17,2013-03-30,2013-04-06,0.33046,0.34054,0.3589,0.32477,0.38796
freemangrass,GR,1000,rising,gcc_75,2013-03-12,2013-03-25,2013-04-05,2013-03-09,2013-03-21,2013-04-02,2013-03-18,2013-03-30,2013-04-07,0.32923,0.33833,0.35453,0.32426,0.38319
freemangrass,GR,1000,rising,gcc_75,2013-09-04,2013-09-06,2013-09-11,2013-09-03,2013-09-05,2013-09-09,2013-09-06,2013-09-08,2013-09-12,0.32714,0.33371,0.35093,0.32334,0.37547
freemangrass,GR,1000,rising,gcc_50,2013-03-13,2013-03-29,2013-04-06,2013-03-10,2013-03-18,2013-04-03,2013-03-17,2013-04-01,2013-04-07,0.32848,0.33716,0.35316,0.32292,0.3802
freemangrass,GR,1000,rising,gcc_50,2013-09-04,2013-09-06,2013-09-11,2013-09-03,2013-09-05,2013-09-09,2013-09-06,2013-09-08,2013-09-12,0.3223,0.33068,0.34934,0.32055,0.37258
freemangrass,GR,1000,rising,gcc_mean,2013-03-12,2013-03-28,2013-04-06,2013-03-10,2013-03-18,2013-04-03,2013-03-16,2013-04-01,2013-04-07,0.32717,0.33683,0.35361,0.32218,0.38128
freemangrass,GR,1000,rising,gcc_mean,2013-09-04,2013-09-06,2013-09-11,2013-09-03,2013-09-05,2013-09-09,2013-09-06,2013-09-08,2013-09-12,0.32214,0.33044,0.34973,0.32044,0.37292
freemangrass,GR,1000,falling,gcc_90,2013-12-02,2013-11-16,2013-10-22,2013-12-03,2013-11-17,2013-10-23,2013-11-22,2013-11-11,2013-10-19,0.32528,0.33366,0.35027,0.31944,0.37956
freemangrass,GR,1000,falling,gcc_90,2012-11-22,2012-11-15,2012-10-30,2012-11-23,2012-11-16,2012-10-31,2012-11-19,2012-11-12,2012-10-27,0.31995,0.33346,0.35737,0.31091,0.40341
freemangrass,GR,1000,falling,gcc_75,2013-12-01,2013-11-16,2013-10-24,2013-12-02,2013-11-17,2013-10-25,2013-11-22,2013-11-11,2013-10-21,0.32436,0.33228,0.34729,0.31905,0.3746
freemangrass,GR,1000,falling,gcc_75,2012-11-22,2012-11-15,2012-10-30,2012-11-23,2012-11-16,2012-10-31,2012-11-20,2012-11-12,2012-10-27,0.31838,0.33146,0.35421,0.30978,0.39768
freemangrass,GR,1000,falling,gcc_50,2013-11-27,2013-11-14,2013-10-23,2013-12-04,2013-11-18,2013-10-28,2013-11-19,2013-11-11,2013-10-21,0.32467,0.33222,0.34542,0.31985,0.3702
freemangrass,GR,1000,falling,gcc_50,2013-06-27,2013-06-24,2013-06-19,2013-06-29,2013-06-25,2013-06-21,2013-06-26,2013-06-23,2013-06-18,0.33184,0.33929,0.3615,0.32666,0.38734
freemangrass,GR,1000,falling,gcc_50,2012-11-22,2012-11-16,2012-10-30,2012-11-23,2012-11-17,2012-10-31,2012-11-20,2012-11-14,2012-10-28,0.31595,0.3292,0.35084,0.30859,0.39122
freemangrass,GR,1000,falling,gcc_mean,2013-12-02,2013-11-15,2013-10-23,2013-12-18,2013-11-19,2013-11-05,2013-11-23,2013-11-12,2013-10-22,0.322,0.33008,0.34507,0.31659,0.37115
freemangrass,GR,1000,falling,gcc_mean,2013-06-27,2013-06-24,2013-06-20,2013-06-28,2013-06-25,2013-06-21,2013-06-26,2013-06-23,2013-06-19,0.33227,0.34068,0.35781,0.32747,0.38699
freemangrass,GR,1000,falling,gcc_mean,2012-11-22,2012-11-16,2012-10-30,2012-11-23,2012-11-17,2012-10-31,2012-11-20,2012-11-13,2012-10-28,0.31509,0.32805,0.35203,0.30764,0.39352
